id,latitude,longitude
2504,59.30437075,18.10843967
2505,59.30442257,18.10853738
2506,59.30430209,18.10879085
2507,59.30470523,18.1088592
2508,59.30458843,18.10907189
2509,59.3044145,18.10917679
2510,59.30277358,18.10925188
2511,59.30449068,18.10928935
2512,59.30318909,18.10930245
2513,59.30441985,18.10948808
2514,59.30449725,18.10982863
2515,59.3049062,18.10430574
2516,59.30124834,18.10436611
2517,59.30136443,18.1045259
2518,59.30324179,18.10455175
2519,59.30234617,18.10464693
2520,59.30429965,18.10521563
2521,59.30446858,18.10557001
2522,59.30183082,18.10580288
2523,59.3040515,18.10594875
2524,59.30432701,18.10597135
2525,59.30488684,18.10601829
2526,59.30333859,18.10605335
2527,59.30441423,18.10609215
2528,59.30516194,18.10627074
2529,59.30152993,18.10629409
2530,59.30514853,18.1063556
2531,59.30263119,18.10375138
2532,59.30263661,18.10176019
2533,59.30277792,18.10331994
2534,59.30297497,18.10420441
2535,59.3031294,18.10378805
2536,59.30319104,18.1035878
2537,59.30334461,18.10314102
2538,59.30339622,18.10413539
2539,59.30352329,18.10258897
2540,59.30352195,18.10427639
2541,59.3035244,18.10359569
2542,59.30355184,18.10260425
2543,59.30365702,18.10233459
2544,59.30365814,18.10320797
2545,59.30387361,18.10170629
2546,59.30391988,18.10244563
2547,59.30402225,18.10214646
2548,59.30424549,18.10321744
2549,59.30449524,18.10249234
2550,59.30459383,18.10219104
2551,59.30462125,18.10420394
2552,59.30472083,18.10183704
2553,59.30472083,18.10183704
2554,59.3051378,18.10305186
2555,59.31459268,18.10069857
2556,59.31466838,18.10091331
2557,59.3124635,18.1015346
2558,59.31232818,18.10157577
2559,59.3149476,18.10165771
2560,59.31240159,18.10182649
2561,59.3148074,18.10204193
2562,59.31256561,18.10214386
2563,59.31286587,18.10261692
2564,59.31313183,18.10304238
2565,59.3142461,18.10361231
2566,59.3123726,18.10479157
2567,59.31245704,18.10515372
2568,59.31328949,18.10526726
2569,59.31252644,18.1052774
2570,59.31317297,18.10533565
2571,59.31513078,18.10562551
2572,59.31234859,18.10593665
2573,59.31268052,18.10635274
2574,59.31049123,18.09989349
2575,59.30980319,18.1018695
2576,59.30950497,18.10225035
2577,59.31044233,18.10230842
2578,59.31062201,18.10243454
2579,59.30942242,18.10271724
2580,59.31070132,18.10282658
2581,59.30931926,18.10325941
2582,59.30909051,18.10348475
2583,59.3098837,18.10397942
2584,59.31015573,18.10423642
2585,59.30976981,18.10509418
2586,59.31081505,18.10512754
2587,59.31083372,18.10563714
2588,59.31059087,18.10605111
2589,59.31126418,18.09973309
2590,59.31166433,18.0999585
2591,59.31165448,18.10026665
2592,59.3117244,18.10056765
2593,59.31167808,18.10084276
2594,59.31104526,18.10307878
2595,59.31184575,18.10333553
2596,59.31165567,18.10383639
2597,59.31144722,18.10410659
2598,59.31158129,18.10428644
2599,59.31152427,18.10469226
2600,59.31127559,18.1049027
2601,59.31115867,18.10516696
2602,59.31141105,18.10571532
2603,59.31125057,18.10597743
2604,59.3109658,18.10599005
2605,59.31092192,18.10635855
2606,59.3109624,18.10649263
2607,59.31099325,18.10675632
2608,59.31148666,18.10681367
2609,59.31204566,18.10697115
2610,59.31121158,18.10703257
2611,59.31225,18.10791885
2612,59.3052904,18.0990485
2613,59.30558813,18.09929044
2614,59.30558299,18.09931593
2615,59.3083061,18.10259785
2616,59.30606879,18.10262399
2617,59.30611292,18.10266491
2618,59.30605092,18.10267838
2619,59.30855922,18.10307126
2620,59.30589068,18.103244
2621,59.30820465,18.10326105
2622,59.3088467,18.10326802
2623,59.30520737,18.10345286
2624,59.30814271,18.10363758
2625,59.30644152,18.1043895
2626,59.30620048,18.10444531
2627,59.30794161,18.1046164
2628,59.30785587,18.10504935
2629,59.30777977,18.10545596
2630,59.3061533,18.10563048
2631,59.30618038,18.10581391
2632,59.30834243,18.10598384
2633,59.30841234,18.10607572
2634,59.30830882,18.1060867
2635,59.30517438,18.10614977
2636,59.30812891,18.10636547
2637,59.30491699,18.09863238
2638,59.30482691,18.09889513
2639,59.30360957,18.09895071
2640,59.30497013,18.09939147
2641,59.30460576,18.09950187
2642,59.30484718,18.09975034
2643,59.30450626,18.09982239
2644,59.30299252,18.09983279
2645,59.30443331,18.10002087
2646,59.30291531,18.10004349
2647,59.30311024,18.10037552
2648,59.30517238,18.10051926
2649,59.30450319,18.1007476
2650,59.30439696,18.10105646
2651,59.30403456,18.10121341
2652,59.30395636,18.1014234
2653,59.29969347,18.09840315
2654,59.30226885,18.09857681
2655,59.29921716,18.09860193
2656,59.3009799,18.0986719
2657,59.30219851,18.09881233
2658,59.30002574,18.0990084
2659,59.29910244,18.09972914
2660,59.30178062,18.10012461
2661,59.30100444,18.10016845
2662,59.29947581,18.10045473
2663,59.30251377,18.1012074
2664,59.30161961,18.10172702
2665,59.29887608,18.10183739
2666,59.30133868,18.10217689
2667,59.30215858,18.10219064
2668,59.30247511,18.10269278
2669,59.30184163,18.10272578
2670,59.30252649,18.10298773
2671,59.30183044,18.10306597
2672,59.30238744,18.10344932
2673,59.31327865,18.09418885
2674,59.31299769,18.09434761
2675,59.31481298,18.0946735
2676,59.31303425,18.09476588
2677,59.31401011,18.09485902
2678,59.31430534,18.09501055
2679,59.31490259,18.09570173
2680,59.31442363,18.09572426
2681,59.31416721,18.09602735
2682,59.31422122,18.09605812
2683,59.31477254,18.09618867
2684,59.31455363,18.09700441
2685,59.31466468,18.09790146
2686,59.31446688,18.09911035
